,Tax,lpxC RepID,murA RepID,score,prob,full_id
20,Gammaproteobacteria bacterium HGW-Gammaproteobacteria-1 TaxID=2013791,A0A2N2AJG2_9GAMM,A0A2N2AJD2_9GAMM,0.7627125578001142,1.0,UniRef100_UPI000FD83A6A/1-417_UniRef100_UPI000FDA055F/1-300
21,Candidatus Kentron sp. TC TaxID=2126339,A0A450YQ41_9GAMM,A0A450ZA07_9GAMM,0.761827920563519,1.0,UniRef100_UPI00160AEE85/1-418_UniRef100_UPI00161855FB/1-300
22,Candidatus Competibacteraceae TaxID=1400857,W6M483_9GAMM,W6M1L5_9GAMM,0.7600726210512221,1.0,UniRef100_A0A1H6AY82/1-418_UniRef100_A0A1H6CCF7/1-300
23,Marinobacterium lutimaris TaxID=568106,A0A1H6CCF7_9GAMM,A0A1H6AY82_9GAMM,0.7593873655423522,1.0,UniRef100_A0A4R1GM77/1-418_UniRef100_A0A4R1G4S9/1-300
24,Marinobacterium mangrovicola TaxID=1476959,A0A4R1G4S9_9GAMM,A0A4R1GM77_9GAMM,0.7593873655423522,1.0,UniRef100_A0A1B1YRU2/1-417_UniRef100_A0A1B1YU40/1-300
25,Immundisolibacter cernigliae TaxID=1810504,A0A1B1YU40_9GAMM,A0A1B1YRU2_9GAMM,0.758770004613325,1.0,UniRef100_A0A2N9YEU1/1-417_UniRef100_A0A2N9YCN6/1-291
26,Beggiatoa leptomitoformis TaxID=288004,A0A2N9YCN6_9GAMM,A0A2N9YEU1_9GAMM,0.7579112267121673,1.0,UniRef100_UPI00167A52EF/1-419_UniRef100_UPI0016779273/1-299
27,Chromatiales bacterium (ex Bugula neritina AB1) TaxID=1868282,A0A1E4ZZM8_9GAMM,A0A1E4ZZJ2_9GAMM,0.7550384597852826,1.0,UniRef100_A0A6N1DLT5/1-417_UniRef100_A0A6N1DNE9/2-299
28,Ectothiorhodospiraceae bacterium 2226 TaxID=2740164,A0A6N1DNE9_9GAMM,A0A6N1DLT5_9GAMM,0.7503942018374801,1.0,UniRef100_A0A2G1ZXN1/1-418_UniRef100_A0A2G2A0J3/1-292
29,Coxiella sp. (in: Bacteria) TaxID=59288,A0A2G2A0J3_9COXI,A0A2G1ZXN1_9COXI,0.7497257450595498,1.0,UniRef100_A0A0F2RFV9/1-432_UniRef100_A0A0F2REP4/2-287
30,Rhodospirillaceae bacterium BRH_c57 TaxID=1629718,A0A0F2REP4_9PROT,A0A0F2RFV9_9PROT,0.7486723479814827,1.0,UniRef100_A0A1G0GQ76/1-417_UniRef100_A0A1G0GPC3/1-295
31,Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_38_14 TaxID=1798279,A0A1G0GPC3_9GAMM,A0A1G0GQ76_9GAMM,0.7455178562086076,1.0,UniRef100_A0A139DBI7/1-418_UniRef100_A0A139DFT4/1-300
32,Marinobacter sp. T13-3 TaxID=1794906,A0A139DFT4_9ALTE,A0A139DBI7_9ALTE,0.7437780853360891,1.0,UniRef100_A0A3N2R385/1-418_UniRef100_A0A3N2QM15/1-300
33,Marinobacter sp. R17 TaxID=2484250,A0A3N2QM15_9ALTE,A0A3N2R385_9ALTE,0.7413914613425732,1.0,UniRef100_A0A1H2TG36/1-418_UniRef100_A0A1H3CUS1/1-300
34,Marinobacter mobilis TaxID=488533,A0A1H3CUS1_9ALTE,A0A1H2TG36_9ALTE,0.7413914613425732,1.0,UniRef100_A0A1I4QNQ4/1-418_UniRef100_A0A1I4TBV3/29-328
35,Marinobacter zhejiangensis TaxID=488535,A0A1I4TBV3_9ALTE,A0A1I4QNQ4_9ALTE,0.7413914613425732,1.0,UniRef100_M7CS52/1-418_UniRef100_M7DIM4/1-300
36,Marinobacter santoriniensis NKSG1 TaxID=1288826,M7DIM4_9ALTE,M7CS52_9ALTE,0.7413914613425732,1.0,UniRef100_A0A3Q9NIU1/1-418_UniRef100_A0A3Q9NIL7/1-300
37,Marinobacter sp. NP-4(2019) TaxID=2488665,A0A3Q9NIL7_9ALTE,A0A3Q9NIU1_9ALTE,0.7413914613425732,1.0,UniRef100_A0A509MU45/1-418_UniRef100_A0A509MQ51/1-300
38,Marinobacter sp. YJ-S3-2 TaxID=2528979,A0A509MQ51_9ALTE,A0A509MU45_9ALTE,0.7413914613425732,1.0,UniRef100_A0A366GKU1/1-418_UniRef100_A0A1I4YI09/1-300
39,Marinobacter pelagius TaxID=379482,A0A1I4YI09_9ALTE,A0A366GKU1_9ALTE,0.7413914613425732,1.0,UniRef100_A0A3N1XSZ2/20-434_UniRef100_A0A3N1XU44/21-320
40,Inmirania thermothiophila TaxID=1750597,A0A3N1XU44_9GAMM,A0A3N1XSZ2_9GAMM,0.7402965193614364,1.0,UniRef100_A0A437Q7Y9/1-418_UniRef100_A0A437QBZ4/1-300
41,Neptunomonas marina TaxID=1815562,A0A437QBZ4_9GAMM,A0A437Q7Y9_9GAMM,0.7391001955038519,1.0,UniRef100_A0A451ADY6/1-417_UniRef100_A0A451AXU3/1-298
42,Candidatus Kentron sp. UNK TaxID=2126344,A0A451AXU3_9GAMM,A0A451ADY6_9GAMM,0.7383843241259456,1.0,UniRef100_A0A450XAS4/1-417_UniRef100_A0A450WY37/1-298
43,Candidatus Kentron sp. LPFa TaxID=2126335,A0A450WY37_9GAMM,A0A450XAS4_9GAMM,0.7383843241259456,1.0,UniRef100_UPI001073A7F6/1-424_UniRef100_UPI0010746D5E/14-302
44,Candidatus Terasakiella magnetica TaxID=1867952,A0A1C3RJJ3_9RHIZ,A0A1C3RHJ9_9RHIZ,0.7369561195373535,1.0,UniRef100_I3CDE0/1-417_UniRef100_I3CJE4/1-291
45,Beggiatoa alba B18LD TaxID=395493,I3CJE4_9GAMM,I3CDE0_9GAMM,0.7367290034890175,1.0,UniRef100_A0A1V5FUX3/1-417_UniRef100_A0A1V5G2W1/1-299
46,Alphaproteobacteria bacterium ADurb.BinA280 TaxID=1852793,A0A1V5G2W1_9PROT,A0A1V5FUX3_9PROT,0.7358985163737088,1.0,UniRef100_A0A524QGW2/1-417_UniRef100_A0A3N5KLA5/1-300
47,Xanthomonadales bacterium TaxID=2006849,A0A3N5KLA5_9GAMM,A0A524QGW2_9GAMM,0.7351661892607808,1.0,UniRef100_A0A4R6TZQ9/1-419_UniRef100_A0A4R6TZW1/1-300
48,Thiopseudomonas denitrificans TaxID=1501432,A0A4R6TZW1_9GAMM,A0A4R6TZQ9_9GAMM,0.7351359538733959,1.0,UniRef100_UPI000C28F911/1-418_UniRef100_A0A127MNJ5/1-300
49,Pseudomonas sp. NFR16 TaxID=1566248,A0A1H6WHB4_9PSED,A0A1H6WFN3_9PSED,0.7336323703639209,1.0,UniRef100_A0A2S6G976/1-418_UniRef100_A0A1I3UR86/1-300
50,Marinobacter persicus TaxID=930118,A0A1I3UR86_9ALTE,A0A2S6G976_9ALTE,0.7310860166326165,1.0,UniRef100_S6AF13/1-416_UniRef100_S6AAV8/1-298
51,Sulfuricella denitrificans (strain DSM 22764 / NBRC 105220 / skB26) TaxID=1163617,S6AAV8_SULDS,S6AF13_SULDS,0.730009916704148,1.0,UniRef100_A0A3A6QKV8/1-419_UniRef100_A0A3A6QK55/1-301
52,Pseudomonas sp. LS-2 TaxID=2315859,A0A3A6QK55_9PSED,A0A3A6QKV8_9PSED,0.7291022872086614,1.0,UniRef100_S2KLF9/1-419_UniRef100_S2JTG0/1-301
53,Pseudomonas plecoglossicida NB2011 TaxID=1330531,S2JTG0_9PSED,S2KLF9_9PSED,0.7291022872086614,1.0,UniRef100_A0A4R7X2M7/1-419_UniRef100_A0A4R7X2S8/1-301
54,Pseudomonas sp. LP_7_YM TaxID=2485137,A0A4R7X2S8_9PSED,A0A4R7X2M7_9PSED,0.7291022872086614,1.0,UniRef100_UPI00166495AB/1-419_UniRef100_UPI00166CFFEA/1-300
55,Stella humosa TaxID=94,A0A3N1KXA2_9PROT,A0A3N1MBK6_9PROT,0.7281490135937929,1.0,UniRef100_A0A6J4FC58/1-426_UniRef100_A0A6J4G0G7/26-311
56,Magnetospirillum sp. SS-4 TaxID=2681465,A0A6J4G0G7_9PROT,A0A6J4FC58_9PROT,0.7273785099387169,1.0,UniRef100_A0A450V7Q9/12-427_UniRef100_A0A450VPI4/1-297
57,Candidatus Kentron sp. H TaxID=2126337,A0A450VPI4_9GAMM,A0A450V7Q9_9GAMM,0.7256577303633094,1.0,UniRef100_UPI00145E4A70/1-416_UniRef100_UPI00145E919F/1-299
58,Kangiella sediminilitoris TaxID=1144748,A0A1B3BCC5_9GAMM,A0A1B3BCM7_9GAMM,0.7248969874344766,1.0,UniRef100_A0A0C5VPC1/1-418_UniRef100_A0A0C5VJH0/1-295
59,Gynuella sunshinyii YC6258 TaxID=1445510,A0A0C5VJH0_9GAMM,A0A0C5VPC1_9GAMM,0.7243009028024971,1.0,UniRef100_A0A545SIU9/1-417_UniRef100_A0A539EAE6/23-319
60,Halothiobacillaceae bacterium TaxID=2268194,A0A539EAE6_9GAMM,A0A545SIU9_9GAMM,0.7229859048966318,1.0,UniRef100_UPI00036A31D1/1-417_UniRef100_UPI0003782758/1-300
61,Thiotrichales bacterium HS_08 TaxID=1899563,A0A1H6F7S6_9GAMM,A0A1H6FD64_9GAMM,0.7217464470304549,1.0,UniRef100_UPI001239B516/1-419_UniRef100_UPI001239AA07/1-300
62,Marinobacter sp. PJ-16 TaxID=2576384,A0A4U6QTL0_9ALTE,A0A4U6R2S2_9ALTE,0.7195703275501728,1.0,UniRef100_A0A2V3ZHB8/1-418_UniRef100_A0A2V3ZWT4/1-300
63,Marinobacter vulgaris TaxID=1928331,A0A2V3ZWT4_9ALTE,A0A2V3ZHB8_9ALTE,0.7195703275501728,1.0,UniRef100_A0A212TLX4/1-418_UniRef100_A0A212UE32/1-300
64,Marinobacter sp. es.048 TaxID=1761795,A0A212UE32_9ALTE,A0A212TLX4_9ALTE,0.7195703275501728,1.0,UniRef100_UPI0015D61D9B/20-436_UniRef100_A0A1E3C8P2/1-300
65,Nevskiales bacterium TaxID=2026766,A0A2E9ZVE6_9GAMM,A0A2E9ZWG9_9GAMM,0.7190092382952571,1.0,UniRef100_A0A4R8IUV7/1-417_UniRef100_A0A4V3H3Z6/1-300
66,Thiohalophilus thiocyanatoxydans TaxID=381308,A0A4V3H3Z6_9GAMM,A0A4R8IUV7_9GAMM,0.7185319671407342,1.0,UniRef100_UPI00129B10AB/1-419_UniRef100_UPI00129AB80C/1-301
67,Pseudomonas sp. MF4836 TaxID=1960827,A0A1T1HRN5_9PSED,A0A1T1I876_9PSED,0.7172303190454841,1.0,UniRef100_I4N965/1-419_UniRef100_I4N9A9/1-301
68,Pseudomonas sp. M47T1 TaxID=1179778,I4N9A9_9PSED,I4N965_9PSED,0.7172303190454841,1.0,UniRef100_A0A0Q4NSE7/1-419_UniRef100_A0A0Q4N762/1-301
69,Pseudomonas sp. Leaf58 TaxID=1736226,A0A0Q4N762_9PSED,A0A0Q4NSE7_9PSED,0.7172303190454841,1.0,UniRef100_A0A0Q5FLM2/1-419_UniRef100_A0A0Q5FR92/1-300
70,Pseudomonas sp. Leaf127 TaxID=1736267,A0A0Q5FR92_9PSED,A0A0Q5FLM2_9PSED,0.7172303190454841,1.0,UniRef100_A0A6I6H9E4/1-419_UniRef100_A0A443ZS30/1-301
71,Pseudomonas alkylphenolica TaxID=237609,A0A443ZS30_9PSED,A0A6I6H9E4_9PSED,0.7172303190454841,1.0,UniRef100_A0A270PFV9/1-419_UniRef100_A0A270P5M7/1-301
72,Pseudomonas sp. ERMR1:02 TaxID=1805930,A0A270P5M7_9PSED,A0A270PFV9_9PSED,0.7172303190454841,1.0,UniRef100_J2Y5E4/1-419_UniRef100_J3IUF3/1-301
73,Pseudomonas sp. GM84 TaxID=1144340,J3IUF3_9PSED,J2Y5E4_9PSED,0.7172303190454841,1.0,UniRef100_A0A5K7TS86/1-419_UniRef100_A0A5K7U227/1-301
74,Pseudomonas sp. KU43P TaxID=2487887,A0A5K7U227_9PSED,A0A5K7TS86_9PSED,0.7172303190454841,1.0,UniRef100_UPI0015E3C2BA/1-419_UniRef100_UPI0015E3ECC7/1-301
75,Pseudomonas sp. 10-1B TaxID=1546029,A0A0E9ZM80_9PSED,A0A0E9ZR59_9PSED,0.7172303190454841,1.0,UniRef100_A0A4Q9QXT0/1-419_UniRef100_A0A4Q9RA14/1-301
76,Pseudomonas dryadis TaxID=2487520,A0A4Q9RA14_9PSED,A0A4Q9QXT0_9PSED,0.7172303190454841,1.0,UniRef100_A0A0Q0X7P9/1-419_UniRef100_A0A0Q0SXD0/1-301
77,Pseudomonas endophytica TaxID=1563157,A0A0Q0SXD0_9PSED,A0A0Q0X7P9_9PSED,0.7172303190454841,1.0,UniRef100_Q1IEA0/1-419_UniRef100_Q1I5C4/1-301
78,Pseudomonas entomophila (strain L48) TaxID=384676,LPXC_PSEE4,MURA_PSEE4,0.7172303190454841,1.0,UniRef100_UPI000F71F182/1-419_UniRef100_A0A3S8UFS2/1-301
79,Pseudomonas extremaustralis TaxID=359110,A0A5C5Q986_9PSED,A0A5C5Q3G7_9PSED,0.7172303190454841,1.0,UniRef100_A0A1X0N6C8/1-419_UniRef100_A0A1X0N8X0/1-301
80,Pseudomonas floridensis TaxID=1958950,A0A1X0N8X0_9PSED,A0A1X0N6C8_9PSED,0.7172303190454841,1.0,UniRef100_A0A5E7RQ54/1-419_UniRef100_UPI0014649F9E/1-301
81,Pseudomonas fluorescens TaxID=294,UPI0014649F9E,A0A5E7RQ54_PSEFL,0.7172303190454841,1.0,UniRef100_A0A239D6F8/1-419_UniRef100_UPI0015E40F5B/1-301
82,Pseudomonas japonica TaxID=256466,UPI0015E40F5B,A0A239D6F8_9PSED,0.7172303190454841,1.0,UniRef100_A0A266NEC0/1-419_UniRef100_A0A1D9IJM0/1-301
83,Pseudomonas lundensis TaxID=86185,A0A1D9IJM0_9PSED,A0A266NEC0_9PSED,0.7172303190454841,1.0,UniRef100_UPI001586F4DA/1-419_UniRef100_UPI001586A4FA/1-301
84,Pseudomonas mendocina TaxID=300,A0A5C8YFW9_PSEME,MURA_PSEMY,0.7172303190454841,1.0,UniRef100_A0A2V4KYF7/1-419_UniRef100_A0A2V4KKA6/1-301
85,Pseudomonas mosselii TaxID=78327,A0A2V4KKA6_9PSED,A0A2V4KYF7_9PSED,0.7172303190454841,1.0,UniRef100_A0A2L0RS98/1-419_UniRef100_A0A3G7XDB4/1-301
86,Pseudomonas orientalis TaxID=76758,A0A3G7XDB4_9PSED,A0A2L0RS98_9PSED,0.7172303190454841,1.0,UniRef100_A0A0A7JJV3/1-419_UniRef100_A0A0A7JNQ5/1-301
87,Pseudomonas parafulva TaxID=157782,A0A0A7JNQ5_9PSED,A0A0A7JJV3_9PSED,0.7172303190454841,1.0,UniRef100_A0A423HAY6/1-419_UniRef100_A0A423GRN5/1-301
88,Pseudomonas brassicacearum TaxID=930166,A0A423GRN5_9PSED,A0A423HAY6_9PSED,0.7172303190454841,1.0,UniRef100_UPI00030F7885/1-419_UniRef100_UPI000318ACBE/1-301
89,Pseudomonas reidholzensis TaxID=1785162,A0A383RWG0_9PSED,A0A383S133_9PSED,0.7172303190454841,1.0,UniRef100_A0A0C2IKB5/1-419_UniRef100_A0A0C2I9S6/1-301
90,Pseudomonas batumici TaxID=226910,A0A0C2I9S6_9PSED,A0A0C2IKB5_9PSED,0.7172303190454841,1.0,UniRef100_A0A1M7P4X9/1-419_UniRef100_A0A1M7P486/1-301
91,Pseudomonas asturiensis TaxID=1190415,A0A1M7P486_9PSED,A0A1M7P4X9_9PSED,0.7172303190454841,1.0,UniRef100_A0A2L2KYL5/1-419_UniRef100_A0A109PUT1/1-301
92,Pseudomonas monteilii TaxID=76759,A0A109PUT1_9PSED,A0A2L2KYL5_9PSED,0.7172303190454841,1.0,UniRef100_A0A2K4IMI2/1-419_UniRef100_A0A2K4IA09/1-301
93,Pseudomonas sp. MPR-ANC1 TaxID=2075548,A0A2K4IA09_9PSED,A0A2K4IMI2_9PSED,0.7172303190454841,1.0,UniRef100_UPI001645F8FC/1-419_UniRef100_UPI0016484FF9/1-301
94,Pseudomonas corrugata TaxID=47879,A0A3M3E124_9PSED,A0A3M3F066_9PSED,0.7172303190454841,1.0,UniRef100_A0A077LI75/1-419_UniRef100_A0A077LIA5/1-300
95,Pseudomonas sp. StFLB209 TaxID=1028989,A0A077LIA5_9PSED,A0A077LI75_9PSED,0.7172303190454841,1.0,UniRef100_A0A427DR01/1-419_UniRef100_A0A3R8VP82/1-301
96,Pseudomonas sp. v388 TaxID=2479849,A0A3R8VP82_9PSED,A0A427DR01_9PSED,0.7172303190454841,1.0,UniRef100_A0A2L1HH54/1-419_UniRef100_A0A2L1HQD8/1-301
97,Pseudomonas sp. SWI6 TaxID=2083051,A0A2L1HQD8_9PSED,A0A2L1HH54_9PSED,0.7172303190454841,1.0,UniRef100_A0A0X1SXC1/1-419_UniRef100_A0A0X1T4V4/1-301
98,Pseudomonas agarici TaxID=46677,A0A0X1T4V4_PSEAA,A0A0X1SXC1_PSEAA,0.7172303190454841,1.0,UniRef100_A0A411MEX0/1-419_UniRef100_A0A411MNI4/1-301
99,Pseudomonas sp. SNU WT1 TaxID=2518644,A0A411MNI4_9PSED,A0A411MEX0_9PSED,0.7172303190454841,1.0,UniRef100_A0A315WZC2/1-419_UniRef100_A0A315WTQ2/1-301
100,Pseudomonas sp. SDI TaxID=2170734,A0A315WTQ2_9PSED,A0A315WZC2_9PSED,0.7172303190454841,1.0,UniRef100_A0A0M5LW58/1-419_UniRef100_UPI0009370C45/1-301
101,Pseudomonas versuta TaxID=1788301,UPI0009370C45,A0A0M5LW58_9PSED,0.7172303190454841,1.0,UniRef100_UPI0016454904/1-419_UniRef100_UPI0016483F5E/1-301
102,Pseudomonas taetrolens TaxID=47884,A0A0J6GXC7_PSETA,A0A0J6JPX5_PSETA,0.7172303190454841,1.0,UniRef100_UPI0016445660/1-419_UniRef100_UPI001644EE08/1-301
103,Pseudomonas sp. R-22-3w-18 TaxID=2654845,A0A6I4KYE7_9PSED,A0A6I4KQD4_9PSED,0.7172303190454841,1.0,UniRef100_UPI00069E0E59/1-419_UniRef100_UPI00069D643C/1-301
104,Pseudomonas sp. ok602 TaxID=1761898,A0A1I4X1Y3_9PSED,A0A1I4PTN5_9PSED,0.7172303190454841,1.0,UniRef100_A0A3N4ANQ2/1-419_UniRef100_A0A3N4AEG3/1-300
105,Pseudomonas sp. SSM44 TaxID=2487347,A0A3N4AEG3_9PSED,A0A3N4ANQ2_9PSED,0.7154652206227183,1.0,UniRef100_A0A0X8XAL5/1-416_UniRef100_A0A0X8XAP2/2-296
106,Halorhodospira halochloris TaxID=1052,A0A0X8XAP2_HALHR,A0A0X8XAL5_HALHR,0.7151805022731423,1.0,UniRef100_A0A1T4KTK8/1-418_UniRef100_A0A1V4T6B9/1-300
107,Oceanospirillum multiglobuliferum TaxID=64969,A0A1V4T6B9_9GAMM,A0A1T4KTK8_9GAMM,0.7144197195884772,1.0,UniRef100_UPI0009491747/1-418_UniRef100_UPI0009489D63/1-299
108,Candidatus Competibacteraceae bacterium TaxID=2053538,A0A3D2VP62_9GAMM,A0A3S0UJM0_9GAMM,0.7125953594222665,1.0,UniRef100_A0A370D9V9/1-417_UniRef100_A0A370DAD1/2-298
109,endosymbiont of Galathealinum brachiosum TaxID=2200906,A0A370DAD1_9GAMM,A0A370D9V9_9GAMM,0.71256632078439,1.0,UniRef100_A0A6N0HV13/1-417_UniRef100_A0A6N0HVE1/1-300
110,Gammaproteobacteria incertae sedis TaxID=118884,A0A6N0HVE1_9GAMM,A0A6N0HV13_9GAMM,0.7122839554212987,1.0,UniRef100_A0A127F955/1-416_UniRef100_A0A127F5Z7/1-297
111,Steroidobacter denitrificans TaxID=465721,A0A127F5Z7_STEDE,A0A127F955_STEDE,0.7118465453386307,1.0,UniRef100_UPI00140E072D/1-417_UniRef100_UPI00140A8C4E/1-297
112,Candidatus Nitrosoglobus terrae TaxID=1630141,A0A1Q2SKH1_9GAMM,A0A1Q2SPG0_9GAMM,0.7109487224370241,1.0,UniRef100_A0A522RVE3/1-417_UniRef100_A0A522RSN4/1-299
113,Rhodanobacteraceae bacterium TaxID=2052182,A0A522RSN4_9GAMM,A0A522RVE3_9GAMM,0.7106874517630786,1.0,UniRef100_A0A4V4R7Q4/1-419_UniRef100_A0A4T1ZYR3/1-301
114,Pseudomonas leptonychotis TaxID=2448482,A0A4T1ZYR3_9PSED,A0A4V4R7Q4_9PSED,0.7105335248634219,1.0,UniRef100_A0A2N1Z2F8/1-419_UniRef100_A0A2N1YVZ6/1-301
115,Gammaproteobacteria bacterium HGW-Gammaproteobacteria-13 TaxID=2013795,A0A2N1YVZ6_9GAMM,A0A2N1Z2F8_9GAMM,0.7105335248634219,1.0,UniRef100_A0A0T6UI23/1-419_UniRef100_A0A0T6UYP7/1-301
116,Pseudomonas sp. TTU2014-080ASC TaxID=1729724,A0A0T6UYP7_9PSED,A0A0T6UI23_9PSED,0.7105335248634219,1.0,UniRef100_A0A1I3LVD0/1-419_UniRef100_A0A1I3E1W4/1-301
117,Pseudomonas guineae TaxID=425504,A0A1I3E1W4_9PSED,A0A1I3LVD0_9PSED,0.7105335248634219,1.0,UniRef100_A0A2R7SH58/1-419_UniRef100_A0A2R7SFT0/1-301
118,Pseudomonas sp. HMWF010 TaxID=2056847,A0A2R7SFT0_9PSED,A0A2R7SH58_9PSED,0.7105335248634219,1.0,UniRef100_UPI001423BB80/1-417_UniRef100_UPI00141F71D5/1-299
119,Pseudomonas sabulinigri TaxID=472181,A0A1H1R3A7_9PSED,A0A1H1WLK2_9PSED,0.7100598597899079,1.0,UniRef100_UPI00082FE6CD/1-418_UniRef100_UPI0008308ED8/1-300
120,Marinobacterium aestuarii TaxID=1821621,A0A1A9EWB4_9GAMM,A0A1A9EW73_9GAMM,0.7088718987070024,1.0,UniRef100_UPI0012319830/1-419_UniRef100_UPI00123214DD/1-299
121,Marinobacterium stanieri TaxID=49186,A0A1N6N9Q8_9GAMM,A0A1N6P9M3_9GAMM,0.708266373956576,1.0,UniRef100_A0A451BAE8/1-417_UniRef100_A0A451BFG5/2-293
122,Candidatus Kentron sp. MB TaxID=2138164,A0A451BFG5_9GAMM,A0A451BAE8_9GAMM,0.7081207679584622,1.0,UniRef100_A0A1H8S924/1-417_UniRef100_A0A1H8S7C8/1-298
123,Aquisalimonas asiatica TaxID=406100,A0A1H8S7C8_9GAMM,A0A1H8S924_9GAMM,0.7071958356500545,1.0,UniRef100_A0A363UMA6/1-417_UniRef100_A0A363UMB0/1-291
124,Abyssibacter profundi TaxID=2182787,A0A363UMB0_9GAMM,A0A363UMA6_9GAMM,0.7069349037483335,1.0,UniRef100_A0A2R8CQB6/1-417_UniRef100_A0A2R8CQ75/1-300
125,Kushneria phyllosphaerae TaxID=2100822,A0A2R8CQ75_9GAMM,A0A2R8CQB6_9GAMM,0.706754666287452,1.0,UniRef100_UPI00167B0D7A/1-417_UniRef100_UPI001678FD6B/1-300
126,Kushneria indalinina DSM 14324 TaxID=1122140,A0A3D9E1V2_9GAMM,A0A3D9E0I1_9GAMM,0.706754666287452,1.0,UniRef100_A0A1I1MEI6/1-417_UniRef100_A0A1I1M5A5/21-320
